data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
201609,JAKARTA SELATAN,Pesanggrahan,ULUJAMI,20 - 60,468,0.0,0,60.0
201609,JAKARTA TIMUR,Jatinegara,BIDARA CINA,10 - 50,0,0.0,0,50.0
201609,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,5 - 60,951,141.0,0,60.0
201609,JAKARTA TIMUR,Jatinegara,CIPINANG BESAR SELATAN,10 - 50,0,0.0,0,50.0
201609,JAKARTA TIMUR,Kramat Jati,CAWANG,10 -70,3886,0.0,0,70.0
201609,JAKARTA TIMUR,Kramat Jati,CILILITAN,20 - 50,50,0.0,0,50.0
201609,JAKARTA TIMUR,Kramat Jati,BATU AMPAR,20 - 40,0,0.0,0,40.0
201609,JAKARTA TIMUR,Kramat Jati,TENGAH,20 - 60,0,0.0,0,60.0
201609,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,20 - 170,0,311.0,0,170.0
201609,JAKARTA TIMUR,Makasar,HALIM PERDANA KUSUMA,20 - 90,600,0.0,0,90.0
201609,JAKARTA TIMUR,Duren Sawit,PONDOK KELAPA,10 - 35,0,0.0,0,35.0
201609,JAKARTA UTARA,Tanjung Priok,SUNGAI BAMBU,10 - 20,0,0.0,0,20.0
201606,JAKARTA SELATAN,Cilandak,PONDOK LABU,30 - 60,0,0.0,0,60.0
201606,JAKARTA SELATAN,Jagakarta,LENTENG AGUNG,10,0,0.0,0,10.0
201606,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,70,0,0.0,0,70.0
201606,JAKARTA SELATAN,Kebayoran Lama,PONDOK PINANG,15 - 65,0,0.0,0,65.0
201606,JAKARTA SELATAN,Pancoran,DUREN TIGA,20 - 30,0,0.0,0,30.0
201606,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,20 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Ciracas,CIBUBUR,15,0,0.0,0,15.0
201606,JAKARTA TIMUR,Ciracas,CIRACAS,0 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Ciracas,KELAPA DUA WETAN,20 - 25,0,0.0,0,25.0
201606,JAKARTA TIMUR,Ciracas,RAMBUTA,0 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Ciracas,SUSUKAN,15,0,0.0,0,15.0
201606,JAKARTA TIMUR,Duren Sawit,PONDOK BAMBU,20 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Kramat Jati,BATU AMPAR,20 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Kramat Jati,CAWANG,10 - 50,5899,0.0,0,50.0
201606,JAKARTA TIMUR,Kramat Jati,CILILITAN,40 - 90,126,0.0,0,90.0
201606,JAKARTA TIMUR,Kramat Jati,DUKUH,15 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Kramat Jati,KRAMAT JATI,20 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,30 - 70,0,2.0,0,70.0
201606,JAKARTA TIMUR,Makasar,HALIM PERDANA KUSUMA,20 - 30,0,0.0,0,30.0
201606,JAKARTA TIMUR,Makasar,KEBON PALA,20 - 30,0,0.0,0,30.0
201606,JAKARTA UTARA,Cilincing,CILINCING,5 - 15,0,0.0,0,15.0
201606,JAKARTA UTARA,Cilincing,MARUNDA,10 - 15,0,0.0,0,15.0
201606,JAKARTA UTARA,Penjaringan,PENJARINGAN,10 - 30,0,0.0,0,30.0
201606,JAKARTA UTARA,Penjaringan,PLUIT,30 - 50,0,0.0,0,50.0
201604,JAKARTA BARAT,Cengkareng,RAWA BUAYA,5 - 25,0,0.0,0,25.0
201604,JAKARTA BARAT,Taman Sari,PINANGSIA,10 - 50,0,0.0,0,50.0
201604,JAKARTA SELATAN,Cilandak,CILANDAK BARAT,50 - 60,0,0.0,0,60.0
201604,JAKARTA SELATAN,Cilandak,CIPETE SELATAN,80 - 85,225,200.0,0,85.0
201604,JAKARTA SELATAN,Cilandak,PONDOK LABU,20 - 100,425,0.0,0,100.0
201604,JAKARTA SELATAN,Jagakarsa,LENTENG AGUNG,20 - 70,0,0.0,0,70.0
